Year,CPI Change (%) - Los Angeles,CPI Change (%) - Phoenix,CPI Change (%) - San Diego,CPI Change (%) - Seattle,CPI Change (%) - San Francisco,HPI - Los Angeles,HPI - Phoenix,HPI - San Diego,HPI - Seattle,HPI - San Francisco
2014,1.3,1.6,1.9,1.8,2.8,207.9459225,152.0540897,179.296515,160.4808572,158.0337664
2015,0.9,0.2,1.6,1.4,2.6,220.3056553,162.9097155,189.02389,177.9709424,174.7078215
2016,1.9,1.6,2,2.2,3,234.6272652,175.3804986,201.1317215,192.3366173,195.9468503
2017,2.8,2.5,3,3.1,3.2,250.4610938,188.0911691,215.6186388,206.3602419,222.0266103
2018,3.8,4.2,3.4,3.2,3.9,265.6919824,203.0082236,227.5739811,221.9772166,242.6559739
2019,3.1,2.9,2.4,2.5,3.3,272.4485059,215.9719049,233.0224874,223.8403225,247.7448953
2020,1.6,2,1.5,1.7,1.7,289.5602322,240.4982879,249.6591396,232.4700836,269.6700827
2021,3.8,5,5.2,4.6,3.2,335.8312999,301.9901349,299.6608978,264.7060021,319.017564
2022,7.4,11.5,7.7,9,5.6,371.1648134,355.8046083,339.4615806,279.7529811,353.2886945
2023,3.5,5.2,5.1,5.8,3.7,378.2399376,352.5990435,349.1944801,276.2184902,350.656264
2024,3.3,2.2,3.1,3.7,2.8,405.0941965,366.4713431,376.1866804,282.0749662,368.5443054
